package_name,cities_to_be_visit,no_of_nights,no_of_days,price
Exotic Rajasthan Package: Jaipur With Pushkar & Udaipur,"jaipur ,  pushkar ,  udaipur",5,6,20500.0
"Royal Rajasthan Family Trip - Jaipur, Jodhpur, Bikaner and more","jaipur ,   jodhpur ,   jaisalmer ,   bikaner",6,7,27430.0
"Rustic Rajasthan Package with Jodhpur, Nathdwara & More","jaisalmer ,   jodhpur ,   nathdwara ,   udaipur",8,9,45560.0
Offbeat Rajasthan Tour Package with Safari,"jaipur ,   ranthambore ,   pushkar",6,7,41600.0
Jaipur Package for 4 Days,"jaipur ,   pushkar ,   ajmer ,   jaipur",3,4,12000.0
"Udaipur, Kumbhalgarh, and Jawai Safari Tour Package","udaipur ,   kumbalgarh ,   jawai",4,5,27800.0
Udaipur Trip Package for 3 Days with Kumbalgarh and Chittorgarh,udaipur,3,4,13250.0
Magnificent Udaipur with  Excursion to Haldighati,udaipur,4,5,16999.0
Udaipur with Mount Abu Tour,udaipur,3,4,13500.0
Khatu Shyam Darshan - From Delhi,khatu shyam ji,1,2,9000.0
Golden Triangle Tour With Ranthambore 8 days and 7 Nights,"delhi ,   jaipur ,   ranthambore ,   agra",7,8,30000.0
"Best Golden Triangle Tour Package - Delhi, Agra and Jaipur","delhi ,  agra ,  jaipur",5,6,22400.0
Delhi-Agra-Jaipur (Golden Triangle),"delhi ,  jaipur ,  agra",5,6,21600.0
Jaipur & Ranthambore Tour Package,"jaipur ,   ranthambore national park",3,4,10800.0
Incredible Sikkim Tour Packages,"siliguri ,   gangtok ,   lachung ,   yumthang valley ,   pelling",7,8,31870.0
Romantic North Sikkim Tour- Professional Photoshoot,"gangtok ,  lachen ,  lachung",4,5,19000.0
Sweet Eastern Himalayan Tour Package,"siliguri ,   darjeeling ,   gangtok ,   pelling ,   kalimpong",7,8,31500.0
Exotic Darjeeling Honeymoon Tour with Gangtok & Lanchung,"siliguri ,   darjeeling ,   gangtok ,   lachung",7,8,29400.0
Best Sikkim Tour Package - 7 Nights 8 Days,"gangtok ,   lachung ,   gangtok",7,8,35750.0
North Sikkim Tour Package for 7 Days,"gangtok ,   lachen ,   lachung ,   gangtok",6,7,29750.0
Adventrous Sikkim Tour Package with Silk Route,"bagdogra ,   mankhim ,   zuluk ,   nathang valley ,   reshikhola",4,5,21000.0
Long Weekend Sikkim Tour Package,gangtok,3,4,14700.0
Sikkim Tour Package for 6 Days- Khangchendzonga National Park,"gangtok ,   khangchendzonga national park ,   gangtok",5,6,25000.0
Sikkim Bike Tour Package,"gangtok ,   lachen ,   lachung ,   gangtok",7,8,28700.0
Cheapest Sikkim Tour Packages - Gangtok,"siliguri ,   gangtok",3,4,12300.0
Sikkim Tour Package for 5 Days,"gangtok ,  lachen ,  lachung ,   gangtok",4,5,18950.0
"North Sikkim Tour Itinerary: Gangtok, Lachen & Lachung","gangtok ,   lachen ,   lachung",5,6,22200.0
Gems of North Bengal with Sikkim,"kurseong ,  darjeeling ,  pelling ,  yuksom ,  gangtok ,  kalimpong",9,10,45650.0
Splendid Sikkim with Zuluk,"gangtok ,   zuluk",4,5,25800.0
Sikkim Bhutan Tour Packages,"gangtok ,   phuesholing ,   thimphu ,   punakha  ,   paro ,    bagdogra",9,10,79500.0
Best of Sikkim Package with Lachen & Lachung,"siliguri ,   gangtok ,   lachen ,   lachung ,   yumthang valley ,   pelling ,   darjeeling",9,10,61320.0
Sikkim 3 nights tour package,"siliguri ,   gangtok",3,4,13600.0
Gangtok to Lachen & Lachung,"gangtok ,   lachung ,   lachen",5,6,19999.0
Essence Of Sikkim Tour,"gangtok ,  lachen ,  lachung",6,7,23940.0
Dooars & Kalimpong Tour Package with Jungle Safari,"bagdogra ,   kalimpong ,   dooars",3,4,12050.0
Lachen & Lachung Land Tour Package from Gangtok,"gangtok ,  lachen ,  lachung ,   gangtok",2,3,12000.0
Aritar & Kalimpong Exploration Tour Package,"bagdogra ,   kalimpong ,    aritar",5,6,17950.0
5 Days  Sikkim Explorer Tour,"bagdogra ,   zuluk ,   gangtok",4,5,20000.0
"5 Days Silk Route Adventure: Explore Sillery Gaon, Zuluk, and Rangpokhola","siliguri ,   sillery gaon ,   zuluk ,   rangpo khola",3,4,17900.0
"Offbeat Sikkim Tour Package: Zuluk, Aritar, and Sillery Gaon Adventure","zuluk ,   aritar ,   sillery gaon",4,5,24000.0
Best of Sikkim & Bhutan Tour Package,"gangtok ,    thimphu ,    paro",6,7,48000.0
South Sikkim Tour Package,"namchi ,   ravangla",4,5,20500.0
Splendid SIkkim Tour Package with South SIkkim,"gangtok  ,   namchi  ,   ravangla",6,7,28000.0
South Sikkim Tour Package with Gangtok,"gangtok  ,   namchi  ,   borong ,   ravangla",6,7,26780.0
5-Night Sikkim Tour from Gangtok to Ravangla and Namchi,"gangtok ,   ravangla  ,   namchi",5,6,22460.0
Darjeeling Gangtok Honeymoon Package,"siliguri ,   darjeeling ,   gangtok",4,5,13400.0
Gangtok Tour Package for Couple for 3 Night 4 Days,"siliguri ,   gangtok",3,4,14600.0
"Quintessential Tamil Nadu Package: Madurai, Rameshwaram, Kanyakumari","madurai ,   rameswaram ,   kanyakumari",3,4,12000.0
"Pearls of Tamil Nadu: Ooty, Kumbakonam, Kodaikanal & More","chennai ,   kumbakonam ,   thanjuvar ,   rameswaram ,   kanyakumari ,   kodaikanal ,   ooty",7,8,28100.0
"Tamil Nadu Darshan: Rameshwaram, Kanyakumari, Trivandrum & More","trivandrum ,   kanyakumari ,   rameswaram ,   madurai",4,5,17650.0
"Religious Madurai, Rameswaram & Kanyakumari on a Budget","madurai ,   rameswaram ,   kanyakumari",2,3,6000.0
"Devotional Tamil Nadu Tour: Navagraha Temple, Tirupati & More","tiruchi ,   madurai ,   kanyakumari ,   rameswaram ,  tanjore ,   kumbakonam ,   pondicherry ,   chennai ,   tirupati ,   thiruvannamalai",15,16,55500.0
Mystical Tamil Nadu with Breathtaking Kerala Package,"kochi ,   alleppey ,   munnar ,   thekkady ,   madurai ,   rameswaram ,   kanyakumari ,   kovalam ,   poovar",11,12,43500.0
"Mesmerizing Rameshwaram, Madurai, Kanyakumari and More","madurai  ,   rameshwaram  ,   kanyakumari  ,   kovalam  ,   alleppey",6,7,23294.0
"Charming Rameshwaram, Cochin, Munnar and More","kochi  ,   munnar  ,   thekkady  ,   kovalam and poovar  ,   kanyakumari  ,   rameshwaram  ,   madurai",8,9,31098.0
"Exciting Rameshwaram, Madurai, Kanyakumari and More","madurai  ,   rameshwaram  ,   kanyakumari  ,   kovalam  ,   poovar",6,7,21977.0
"Special Beach Package - Kodaikanal, Madurai, Rameshwaram and More","madurai ,   kodaikanal  ,   madurai  ,   rameshwaram  ,   kanyakumari  ,   kovalam",6,7,24000.0
"Amazing Chennai, Kanchipuram, Mahabalipuram and More","chennai  ,   kanchipuram  ,   mahabalipuram  ,   pondicherry  ,   chennai",6,7,20493.0
"Cool and Misty Tamil Nadu - Coimbatore, Ooty, Coonoor Package","coimbatore  ,   ooty  ,   coonoor ,   coimbatore",5,6,17704.0
Double Bonanza: Karnataka and Tamil Nadu Package,"bangalore  ,   mysore  ,  kabini  ,   ooty  ,   tiruvannamalai  ,   mahabalipuram  ,  chennai",9,10,35523.0
"Seaside Fun - Madurai, Rameshwaram, Kanyakumari and More","madurai ,   rameshwaram ,   kanyakumari ,   kovalam  ,   poovar",5,6,18473.0
"Hilly Vibes Munnar, Kodaikanal, Ooty","munnar  ,   kodaikanal  ,   ooty",6,7,21458.0
"Alluring Package - Ooty, Mysore, Ranganathittu, Bandipur and More","bangalore - mysore  ,   ranganathittu  ,   nagarhole  ,   bandipur  ,   ooty",7,8,23985.0
"Beautiful Package: Ooty, Bangalore,  Kabini and More","bangalore  ,  mysore  ,   kabini  ,   ooty  ,   cochin  ,   kumarakom  ,   bangalore",9,10,114570.0
"Triple Masti -  Ooty, Mysore, Coorg Package","mysore  ,   coorg  ,   ooty",6,7,21556.0
"Budget Friendly Package: Ooty, Mysore, Munnar and More","mysore  ,   ooty  ,   munnar  ,   thekkady",7,8,9960.0
"Authentic Ooty, Mysore, and Bandipur Package","mysore  ,   bandipur  ,   ooty",5,6,21476.0
"Enthralling Tamil Nadu Package - Conoor, Bangalore, Mysore, Nagarhole and More","bangalore  ,   mysore  ,   nagarhole  ,   coonoor  ,   bangalore",6,7,20670.0
"Beach Vacay Package - Rameshwaram, Mahabalipuram, Pondicherry and More","mahabalipuram  ,   pondicherry  ,   madurai  ,   rameshwaram  ,   kanyakumari",7,8,50615.0
"Religious Package - Rameshwaram, Kanyakumari, Madurai and More","kanyakumari  ,   rameshwaram  ,   madurai  ,   tirupati",5,6,6772.0
"Delightful Rameshwaram, Kanyakumari, Madurai and More","kanyakumari  ,   rameshwaram  ,   madurai  ,   kodaikanal",5,6,18230.0
"Enthralling Rameshwaram, Ooty, Kodaikanal and More","ooty  ,   kodaikanal  ,   madurai  ,   rameshwaram  ,   kanyakumari",7,8,25468.0
"Divine Package -  Rameshwaram, Chennai, Madurai and More","chennai  ,   pondicherry  ,  thanjavur  ,   tiruchirapalli  ,   madurai  ,   rameshwaram  ,   kanyakumari",8,9,28203.0
Rameshwaram Special Package,rameshwaram,2,3,6732.0
"Gems of Tamil Nadu - Rameshwaram, Chennai, Mahabalipuram and More","chennai  ,   mahabalipuram  ,   pondicherry  ,   madurai  ,   rameshwaram  ,   kanyakumari",8,9,28738.0
Striking Mahabalipuram and Chennai,"mahabalipuram  ,   chennai",4,5,14382.0
"Enthralling Chennai, Mahabalipuram and Pondicherry Package","chennai  ,   mahabalipuram  ,   pondicherry",6,7,8430.0
Simply Kodaikanal,kodaikanal,3,4,10710.0
Double Hill Station Dhamaka - Ooty and Kodaikanal,"ooty  ,   kodaikanal",4,5,36952.0
"Beaches and Temples - Chennai, Madurai, Rameswaram and More","chennai  ,   madurai  ,   rameswaram  ,   kanyakumari",5,6,18017.0
"Beachy Vacation - Chennai, Mahabalipuram, Pondicherry and More","chennai  ,   mahabalipuram  ,   pondicherry  ,   kanyakumari",6,7,6768.0
"Triple Dhamaka Package - Madurai, Rameshwaram, Kanyakumari","madurai  ,   rameshwaram  ,   kanyakumari",3,4,11090.0
Majestic Varanasi,varanasi,3,4,4300.0
"Astounding Jaipur, Ranthambore, Agra and More","jaipur ,  ranthambore ,  agra ,  delhi",5,6,24325.0
"Blissful Jaipur, Delhi, Agra & More","delhi ,  agra ,  jaipur ,  udaipur ,  jodhpur ,  pushkar",9,10,32700.0
"Golden Triangle Tour Jaipur, Delhi & Agra","delhi ,  agra ,  jaipur",3,4,9914.0
"Fascinating Varanasi, Ayodhya & 2 places","varanasi ,  ayodhya ,  chitrakoot ,  allahabad",4,5,15500.0
"Enchanting Delhi, Agra & Haridwar Package","delhi ,  agra ,  haridwar",5,6,14000.0
Panoramic Mathura,mathura,4,5,13250.0
"Romantic Mathura, Vrindavan & Agra","mathura ,  vrindavan ,  agra",3,4,12500.0
"Alluring Varanasi, Allahabad & 3 places","varanasi ,  allahabad ,  ayodhya ,  kushinagar ,  balrampur",5,6,7500.0
3 Days Family Rishikesh Rafting Tour Package,rishikesh,2,3,5500.0
"Religious Package - Rishikesh, Rudraprayag, Joshimath and Kedarnath","rishikesh ,   rudraprayag  ,   joshimath ,   kedarnath",6,7,17498.0
Mesmerising Lansdowne Tour Package from Dehradun,"dehradun ,   lansdowne",2,3,9999.0
Best of Uttarakhand Tour Package in 9 Days,"delhi ,   rishikesh ,   mussoorie ,   jim corbett national park ,   kausani ,   nainital",8,9,29890.0
Exotic Uttarakhand Honeymoon Package,"delhi(0) ,   nainital ,   ranikhet ,   kausani ,   jim corbett national park",6,7,28900.0
Backpacker Package for Valley of Flowers Trek with Rudraprayag,"dehradun/haridwar ,   rudraprayag ,   ghangaria",5,6,12999.0
Char Dham Yatra Tour Package 9 Nights 10 Days from Bangalore,"bangalore ,   barkot ,  uttarkashi ,  guptkashi ,  kedarnath ,  badrinath ,  rudraprayag",9,10,34555.0
Char Dham Yatra Fix Departure Package,"haridwar ,  barkot ,  uttarkashi ,  sitapur ,  badrinath ,  rudraprayag",10,11,17500.0
Valley Of Flowers National Park Package Ex Haridwar,"govindghat ,  ghangaria ,  valley of flowers",4,5,13500.0
Divine Char Dham Tour Package from Delhi by Road,"haridwar ,  barkot ,  yamunotri ,   uttarkashi ,   gangotri ,   guptkashi ,  kedarnath ,  badrinath ,  rudraprayag",11,12,72000.0
Do Dham Darshan: Kedarnath Badrinath Helicopter Yatra,"dehradun ,   guptkashi ,   joshimath ,   badrinath ,   rudraprayag",5,6,45000.0
2 Nights 3 Days Corbett Tour Package Ex Delhi,"delhi ,   corbett national park",2,3,12500.0
Holy Kedarnath and Badrinath Tour,"badrinath ,   kedarnath",1,2,10500.0
Rishikesh River Rafting Tour,rishikesh,1,2,3000.0
Beautiful Auli Package,"haridwar ,   auli",2,3,11000.0
Valley Of Flowers Trek Group Tour,"haridwar ,   govindghat ,   ghangaria(3)",6,7,15500.0
Auli & Chopta Package with Cable Car & Skiing,"haridwar ,   joshimath ,   auli ,   rudraprayag",3,4,11700.0
Auli Winter Bonanza Package with Haridwar and Joshimath from Delhi,"haridwar ,   joshimath ,   auli",5,6,20000.0
Auli Chopta Tour Package with Deoria Tal Trek,"haridwar ,   chopta ,   auli",4,5,20000.0
Enchanting Auli Tour Package with Optional Skiing,"joshimath ,   auli",3,4,12500.0
Monsoon Trek Package to Valley of Flowers & Hemkund Sahib from Joshimath,"joshimath ,  ghangaria",5,6,8500.0
"Magnificent Pangot, Pithoragarh, Lohaghat and More","pangot ,  pithoragarh ,  lohaghat ,  pancheswar",6,7,15865.0
Amazing Nainital Kaichi Dham & Corbett Tour Package,"nainital ,   corbett national park",4,5,15000.0
Mesmerising Chopta Tour Package,chopta,2,3,8600.0
"Alluring Haridwar, Rudraprayag & Auli","haridwar ,  rudraprayag ,  auli",4,5,18000.0
Kedarnath ji Tour Package - 3 Nights/4 Days,"haridwar ,  phata ,  kedarnath ,  phata",3,4,8000.0
"Harsil Valley, Chopta and Auli Tour Package for 7 Days","harsil ,   chopta ,   auli",6,7,27500.0
Weekend Getaway to Harsil Valley and Tehri Lake Tour Package,"harsil ,   tehri garhwal",3,4,18700.0
Beautiful Harsil Valley with Mukhba Village Tour Package,harsil,3,4,18500.0
Enchanting Harsil Valley Tour Package,harsil,2,3,15725.0
5 Days 4 Nights Harsil Valley and Chopta Tour Package,"harsil ,   chopta",4,5,21500.0
Darjeeling Kalimpong Tour Package,"kalimpong ,   darjeeling",3,4,12900.0
Weekend in Darjeeling Tour package,darjeeling,3,4,23000.0
Best Deal Kashmir Package Trip with 2 Night Houseboat Stay,"srinagar houseboat ,   sonamarg ,   pahalgam ,   gulmarg",5,6,25500.0
Kashmir Great Lakes Trek - 8 Days Adventure,"srinagar ,  nichnai ,  vishansar lake ,  satsar ,  nundkol lake ,   srinagar",6,7,28000.0
Jammu and Kashmir Tour Package - 7 Nights 8 Days,"srinagar ,   pahalgam ,   katra",7,8,30999.0
Discover Kashmir Honeymoon Special Houseboat Stay Package,"srinagar ,   gulmarg ,   sonamarg ,   pahalgam",6,7,35700.0
Splendid Amarnath Yatra Tour Package,"srinagar ,   sonamarg ,   srinagar",2,3,15900.0
Vaishno Devi and Srinagar Tour Package,"jammu ,   katra ,   pahalgam ,   srinagar",6,7,24999.0
Vaishno Devi Darshan with Scenic Kashmir Holiday Package,"jammu ,   katra ,  pahalgam ,  srinagar ,  gulmarg",8,9,39200.0
Pilgrims Travel to Amarnath Yatra With Helicopter,srinagar,3,4,36430.0
Delightful Kashmir Holiday Package,"srinagar ,   srinagar",4,5,13000.0
Explore  Kashmir 3 Nights Tour Package,"srinagar ,   srinagar",3,4,11000.0
Kashmir Honeymoon Paradise Tour Package,"srinagar ,   pahalgam",4,5,13000.0
Srinagar to Srinagar For Couple 5N/6D Package,"srinagar ,  pahalgam ,  srinagar ,  srinagar",5,6,42000.0
Splendid Kashmir Holiday Package for 5 Days,"srinagar ,   srinagar",4,5,10000.0
Adventurous Kashmir Tour Package,srinagar,4,5,10500.0
6 Nights 7 days Kashmir Package,"srinagar ,   sonamarg ,   gulmarg ,   pahalgam",6,7,73000.0
Exotic Kashmir Tour Package,"srinagar ,   pahalgam ,   gulmarg ,   srinagar",6,7,19499.0
Luxury Golden Triangle Tour Package,"delhi ,   agra ,   jaipur",5,6,35099.0
Short Honeymoon Trip to Delhi and Agra,"delhi ,   agra",3,4,12100.0
Rajasthan and Nepal Honeymoon Package,"delhi ,   agra ,   jaipur ,   udaipur ,  kathmandu ,   pokhara ,   kathmandu",11,12,99000.0
Golden Triangle and Nepal Honeymoon Package,"delhi ,   agra ,   jaipur ,   kathmandu ,   pokhara ,   kathmandu",9,10,87000.0
Fantastic Tour Package to India and Malaysia,"delhi ,   agra ,   jaipur ,   kuala lumpur(2) ,   langkawi",9,10,52000.0
Adventurous Delhi Honeymoon with Agra & Ranthambhore,"delhi ,   ranthambore ,   agra",5,6,29800.0
"Amazing Honeymoon in Delhi, Agra and Jaipur","delhi ,   agra ,   jaipur",5,6,20000.0
Love in Shimla Manali Agra Honeymoon Package by Cab,"delhii ,   shimla ,   manali ,   agra",7,8,34999.0
Golden Triangle with Udaipur Tour Packages,"delhi ,  agra ,  fatehpur ,  jaipur ,  chittorgarh ,  udaipur",8,9,45000.0
Delhi Agra Jaipur Tour Package,"delhi ,   agra ,   jaipur",5,6,12900.0
Short Break to Delhi and Agra,"delhi ,   agra",3,4,12100.0
Delhi and Agra Holiday Tour Package,"delhi ,   agra",4,5,15100.0
Allure of Anand with Ahmedabad Stay,"anand ,  ahmedabad",2,3,7500.0
Awesome Anand and Vadodara,"anand ,  vadodara",2,3,6500.0
"Amazing Anand, Vadodara and Ahmedabad","vadodara ,  anand ,  ahmedabad",3,4,10000.0
Bilaspur Jungle Safari & Temple Tour Package,bilaspur,4,5,17700.0
Splendid Delhi Agra Jaipur Package,"delhi ,   agra ,   jaipur",5,6,19840.0
Adventurous Spiti Valley Trek from Delhi,"delhi ,   manali ,   kaza ,   kibber ,  kowmik ,   demul ,   lahlung ,   dhankar ,   kaza ,   manali",11,12,69972.0
Road Trip To Leh Ladakh,"delhi ,  pathankot ,  srinagar ,  kargil ,  leh ,  pangong lake ,  nubra valley ,  manali ,  chandigarh ,  delhi",14,15,120500.0
Drivacation to Lansdowne from Delhi,"delhi ,   lansdowne",1,2,4299.0
"Alluring Delhi, Manali, Shimla & More","delhi ,  shimla ,  manali ,  chandigarh",7,8,21000.0
Super Saver Delhi and Shimla,"delhi ,  shimla",4,5,7000.0
Enthralling Delhi & Shimla,"shimla ,  delhi",3,4,8500.0
"Incredible Delhi, Manali & Chail","delhi ,  chail ,  manali",6,7,17000.0
Delhi Sightseeing 2 Days Private Tour,delhi,2,3,7000.0
"Highlights of Delhi, Ladakh, Nubra Valley & More","delhi ,  pathankot ,  srinagar ,  kargil ,  ladakh ,  nubra valley ,  ladakh ,  dalhousie ,  manali ,  chandigarh ,  delhi",16,17,40000.0
"Gems of Delhi, Shimla & Manali","shimla ,  manali ,  delhi",6,7,13500.0
"Deluxe Tour Delhi, Shimla & Manali by Car","delhi ,  manali ,  shimla",7,8,28750.0
Magnificent Delhi & Dharamshala,"delhi ,  dharamshala",4,5,10500.0
Best of India Malaysia Tour Package,"kuala lumpur ,   genting highlands ,   langkawi ,   delhi ,   shimla ,   manali",11,12,82000.0
Jaipur Jodhpur and Udaipur Tour for 6 Days,"jaipur ,   jodhpur ,   udaipur",5,6,16500.0
Rajasthan Family Tour Package with  Udaipur & Jaipur,"udaipur ,   jaipur",4,5,15000.0
Adventurous Jaipur &  Ranthambhore Honeymoon trip,"jaipur ,  ranthambore",4,5,19000.0
Luxury Udaipur Jaipur Package,"udaipur ,   jaipur",4,5,44000.0
Amazing Honeymoon in Rajasthan (Photoshoot Included),"jaipur ,   jodhpur ,   jaisalmer",6,7,29311.0
5 Nights 6 Days Rajasthan Soulmate Special,"jaipur ,   jodhpur ,   udaipur",5,6,22900.0
Best of Rajasthan Honeymoon Package for 7 Nights,"jaipur ,   jaisalmer ,   jodhpur ,   udaipur",7,8,32250.0
Udaipur Jaipur Honeymoon Package for Couples,"udaipur ,   jaipur",4,5,16000.0
Rajasthan Golden Triangle Honeymoon Special Package,"jodhpur ,   jaisalmer ,   jodhpur ,   udaipur",5,6,23560.0
Heavenly Honeymoon in Jaisalmer and Jodhpur,"jodhpur ,   jaisalmer ,   jodhpur",4,5,18050.0
"Heritage Udaipur Tour Package with Bikaner, Jodhpur and Jaislamer","jaipur ,   bikaner ,   jaisalmer ,   jodhpur ,   udaipur ,   chittorgarh",8,9,58250.0
"Udaipur Tour Package with Jaipur, Jodhpur, Bikaner and Jaisalmer","jaipur ,   bikaner ,   jaisalmer ,   jodhpur ,   udaipur",8,9,32890.0
The Oberoi Udaivilas Udaipur,udaipur,2,3,128250.0
RAAS Devigarh,udaipur,4,5,117000.0
Udaipur Rajasthan Tour Package for Family- Boating in Lake Pichola,udaipur,3,4,14800.0
Udaipur 3 Day Itinerary - Heritage Walk in the Old City,udaipur,2,3,25000.0
Decadent Udaipur Honeymoon - 3 Nights in 3 Star,udaipur,3,4,16300.0
Romance in Udaipur Honeymoon Package,udaipur,2,3,7000.0
Taj Lake Palace - Udaipur,udaipur,2,3,156000.0
Weekend in Darjeeling Tour package,"siliguri ,  darjeeling",3,4,23000.0
Love in Darjeeling Gangtok Luxury Honeymoon Package,"siliguri ,   darjeeling ,   kalimpong ,   gangtok",5,6,34020.0
Magical Darjeeling Kalimpong Gangtok Premium Honeymoon Package,"siliguri ,   darjeeling ,   kalimpong ,   gangtok",5,6,20100.0
Darjeeling Gangtok Honeymoon Package with River Rafting,"gangtok ,  darjeeling",6,7,14750.0
Soulful Sikkim with Darjeeling Honeymoon Package,"siliguri ,   gangtok ,   lachen ,   lachung ,   darjeeling",7,8,22999.0
3 Nights in 3 Star Darjeeling Honeymoon Package,darjeeling,3,4,14750.0
5 Nights Love in Gangtok Darjeeling Honeymoon Package,"gangtok ,   darjeeling",5,6,23799.0
Magical Gangtok Deluxe Honeymoon Package with Best of Sikkim,"siliguri ,   gangtok ,   lachen ,   lachung ,   darjeeling",7,8,29999.0
Soulmate Special Gangtok Darjeeling Honeymoon Package,"gangtok ,   darjeeling",4,5,17800.0
Magical Darjeeling Budget Honeymoon Package,darjeeling,2,3,6550.0
Offbeat Darjeeling Honeymoon Special with Lataguri & More,"lataguri ,   kalimpong ,   darjeeling ,   mirik",7,8,29750.0
Heaven on Hills Darjeeling Honeymoon Package,"darjeeling ,   kalimpong",3,4,11200.0
Gangtok Darjeeling Super Deluxe Package,"gangtok ,  darjeeling",4,5,20000.0
Darjeeling Sikkim Bhutan Tour Package,"darjeeling ,   gangtok ,   pelling ,   phuentsholing ,   thimphu ,   punakha ,   paro",11,12,65400.0
